serial_num,equip_type,manufacturer,manufacture_date,date_active,date_not_viable,facility,ownership_type,lab_level,calib_engineer_nm,calib_engineer_post,most_recent_calibration,next_calibration,most_recent_maintenance,next_maintenance,maintenance_engineer_nm,maintenance_engineer_post,retirement_date,retirement_requested,retirement_dt_requested,long,lat,last_altered
36,P24,best_labs,2017-09-08,2017-09-09,2019-09-08,Lab2,gov,district,tech1,affiliate1,2017-10-13,2018-01-11,2017-11-07,2018-05-06,tech1,affiliate1,2019-08-30,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
37,pcr_tube,lab_equip_r_us,2016-06-18,2016-07-01,2018-06-18,Lab3,gov,district,tech3,affiliate3,2016-08-01,2016-10-30,2016-09-20,2017-03-19,tech2,affiliate2,2018-06-21,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
38,graduated_pipettes,lab_equip_r_us,2017-03-08,2017-03-16,2019-03-08,Lab3,gov,regional,tech1,affiliate1,2017-05-14,2017-08-12,2017-05-11,2017-11-07,tech3,affiliate3,2019-03-06,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
39,centrifuge,quality_equip,2017-05-29,2017-06-15,2019-05-29,Lab1,private,district,tech3,affiliate3,2017-06-21,2017-09-19,2017-08-01,2018-01-28,tech1,affiliate1,2019-06-05,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
40,CD4_CD8_counter,quality_equip,2017-10-03,2017-10-06,2019-10-03,Lab3,gov,district,tech2,affiliate2,2017-12-04,2018-03-04,2017-12-02,2018-05-31,tech1,affiliate1,2019-09-26,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
41,micropipettes,lab_equip_r_us,2016-03-18,2016-04-06,2018-03-18,Lab,gov,district,tech3,affiliate3,2016-04-23,2016-07-22,2016-05-20,2016-11-16,tech2,affiliate2,2018-03-27,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
42,spectrophotometer,lab_equip_r_us,2017-01-12,2017-01-20,2019-01-12,Lab,parochial,district,tech3,affiliate3,2017-03-20,2017-06-18,2017-04-11,2017-10-08,tech2,affiliate2,2019-01-10,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
43,graduated_pipettes,quality_equip,2017-07-29,2017-07-30,2019-07-29,Lab1,gov,district,tech3,affiliate3,2017-09-20,2017-12-19,2017-10-05,2018-04-03,tech2,affiliate2,2019-07-20,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
44,micropipettes,lab_equip_r_us,2017-08-30,2017-09-13,2019-08-30,Lab,private,district,tech2,affiliate2,2017-10-25,2018-01-23,2017-10-20,2018-04-18,tech1,affiliate1,2019-09-03,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
45,pcr_machine,best_labs,2017-05-01,2017-05-31,2019-05-01,Lab1,gov,district,tech3,affiliate3,2017-06-22,2017-09-20,2017-07-03,2017-12-30,tech1,affiliate1,2019-05-21,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
46,P24,lab_equip_r_us,2016-02-13,2016-02-19,2018-02-12,Lab3,gov,district,tech2,affiliate2,2016-04-01,2016-06-30,2016-04-19,2016-10-16,tech3,affiliate3,2018-02-08,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
47,hiv reagents,best_labs,2017-04-17,2017-04-22,2019-04-17,Lab4,gov,national,tech3,affiliate3,2017-06-17,2017-09-15,2017-06-15,2017-12-12,tech1,affiliate1,2019-04-12,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
48,hiv reagents,lab_equip_r_us,2017-05-10,2017-05-17,2019-05-10,Lab,gov,regional,tech2,affiliate2,2017-07-14,2017-10-12,2017-07-03,2017-12-30,tech3,affiliate3,2019-05-07,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
49,hiv reagents,lab_equip_r_us,2016-09-14,2016-09-24,2018-09-14,Lab4,gov,district,tech2,affiliate2,2016-10-20,2017-01-18,2016-10-29,2017-04-27,tech2,affiliate2,2018-09-14,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
50,centrifuge,best_labs,2016-04-11,2016-04-23,2018-04-11,Lab4,private,regional,tech3,affiliate3,2016-05-20,2016-08-18,2016-07-01,2016-12-28,tech1,affiliate1,2018-04-13,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
51,graduated_pipettes,lab_equip_r_us,2016-05-29,2016-06-08,2018-05-29,Lab2,gov,other,tech3,affiliate3,2016-06-11,2016-09-09,2016-08-14,2017-02-10,tech3,affiliate3,2018-05-29,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
52,pcr_tube,quality_equip,2016-09-04,2016-09-05,2018-09-04,Lab3,gov,regional,tech3,affiliate3,2016-11-01,2017-01-30,2016-10-14,2017-04-12,tech2,affiliate2,2018-08-26,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
53,P24,best_labs,2016-11-14,2016-11-25,2018-11-14,Lab1,gov,district,tech2,affiliate2,2016-12-11,2017-03-11,2017-01-14,2017-07-13,tech3,affiliate3,2018-11-15,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
54,pcr_machine,quality_equip,2016-07-20,2016-07-27,2018-07-20,Lab4,gov,district,tech2,affiliate2,2016-08-31,2016-11-29,2016-09-06,2017-03-05,tech3,affiliate3,2018-07-17,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
55,micropipettes,best_labs,2017-04-06,2017-04-27,2019-04-06,Lab2,private,district,tech2,affiliate2,2017-05-14,2017-08-12,2017-06-20,2017-12-17,tech2,affiliate2,2019-04-17,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
56,spectrophotometer,lab_equip_r_us,2017-07-14,2017-08-12,2019-07-14,Lab4,gov,other,tech2,affiliate2,2017-09-27,2017-12-26,2017-09-29,2018-03-28,tech2,affiliate2,2019-08-02,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
57,micropipettes,quality_equip,2017-06-04,2017-06-13,2019-06-04,Lab4,gov,district,tech2,affiliate2,2017-08-05,2017-11-03,2017-08-03,2018-01-30,tech2,affiliate2,2019-06-03,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
58,hiv reagents,lab_equip_r_us,2017-02-01,2017-02-13,2019-02-01,Lab,gov,district,tech2,affiliate2,2017-02-27,2017-05-28,2017-03-25,2017-09-21,tech3,affiliate3,2019-02-03,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
59,spectrophotometer,quality_equip,2017-12-13,2017-12-15,2019-12-13,Lab2,gov,district,tech1,affiliate1,2018-01-11,2018-04-11,2018-03-12,2018-09-08,tech3,affiliate3,2019-12-05,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
60,pcr_machine,lab_equip_r_us,2016-08-23,2016-09-03,2018-08-23,Lab,private,district,tech2,affiliate2,2016-09-30,2016-12-29,2016-11-28,2017-05-27,tech2,affiliate2,2018-08-24,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
61,micropipettes,lab_equip_r_us,2017-11-30,2017-12-27,2019-11-30,Lab3,gov,district,tech1,affiliate1,2018-02-15,2018-05-16,2018-02-17,2018-08-16,tech2,affiliate2,2019-12-17,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
62,pcr_machine,best_labs,2017-03-30,2017-04-06,2019-03-30,Lab1,gov,district,tech2,affiliate2,2017-04-17,2017-07-16,2017-06-30,2017-12-27,tech1,affiliate1,2019-03-27,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
63,graduated_pipettes,lab_equip_r_us,2016-01-31,2016-02-20,2018-01-30,Lab,parochial,district,tech3,affiliate3,2016-03-06,2016-06-04,2016-04-11,2016-10-08,tech2,affiliate2,2018-02-09,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
64,micropipettes,lab_equip_r_us,2016-06-08,2016-06-15,2018-06-08,Lab,private,district,tech3,affiliate3,2016-07-27,2016-10-25,2016-08-27,2017-02-23,tech3,affiliate3,2018-06-05,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
65,graduated_pipettes,best_labs,2017-01-14,2017-02-04,2019-01-14,Lab,gov,district,tech1,affiliate1,2017-02-21,2017-05-22,2017-03-21,2017-09-17,tech3,affiliate3,2019-01-25,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
66,pcr_machine,lab_equip_r_us,2017-07-24,2017-08-15,2019-07-24,Lab4,gov,district,tech1,affiliate1,2017-08-16,2017-11-14,2017-10-11,2018-04-09,tech3,affiliate3,2019-08-05,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
67,graduated_pipettes,lab_equip_r_us,2017-09-02,2017-09-22,2019-09-02,Lab2,gov,district,tech2,affiliate2,2017-10-11,2018-01-09,2017-12-04,2018-06-02,tech1,affiliate1,2019-09-12,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
68,CD4_CD8_counter,lab_equip_r_us,2016-06-28,2016-07-28,2018-06-28,Lab4,private,district,tech2,affiliate2,2016-09-20,2016-12-19,2016-10-20,2017-04-18,tech3,affiliate3,2018-07-18,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
69,centrifuge,quality_equip,2016-12-06,2016-12-10,2018-12-06,Lab3,gov,regional,tech3,affiliate3,2017-01-30,2017-04-30,2017-02-10,2017-08-09,tech3,affiliate3,2018-11-30,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
70,graduated_pipettes,lab_equip_r_us,2016-01-31,2016-02-19,2018-01-30,Lab,private,regional,tech2,affiliate2,2016-03-09,2016-06-07,2016-04-21,2016-10-18,tech2,affiliate2,2018-02-08,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
71,centrifuge,best_labs,2017-09-13,2017-09-26,2019-09-13,Lab4,gov,district,tech3,affiliate3,2017-09-28,2017-12-27,2017-11-06,2018-05-05,tech3,affiliate3,2019-09-16,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
72,coulter,lab_equip_r_us,2016-02-09,2016-02-12,2018-02-08,Lab4,gov,national,tech2,affiliate2,2016-03-05,2016-06-03,2016-04-24,2016-10-21,tech3,affiliate3,2018-02-01,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
73,P24,lab_equip_r_us,2017-10-20,2017-10-22,2019-10-20,Lab1,gov,district,tech3,affiliate3,2017-10-28,2018-01-26,2018-01-16,2018-07-15,tech1,affiliate1,2019-10-12,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
74,P24,quality_equip,2017-01-18,2017-02-12,2019-01-18,Lab3,gov,district,tech1,affiliate1,2017-03-20,2017-06-18,2017-05-01,2017-10-28,tech3,affiliate3,2019-02-02,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
75,hiv reagents,best_labs,2017-08-22,2017-09-08,2019-08-22,Lab2,gov,district,tech1,affiliate1,2017-11-04,2018-02-02,2017-10-20,2018-04-18,tech1,affiliate1,2019-08-29,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
76,centrifuge,best_labs,2016-04-18,2016-04-20,2018-04-18,Lab,gov,other,tech3,affiliate3,2016-05-25,2016-08-23,2016-05-20,2016-11-16,tech3,affiliate3,2018-04-10,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
77,graduated_pipettes,lab_equip_r_us,2017-04-03,2017-04-24,2019-04-03,Lab2,private,district,tech1,affiliate1,2017-06-05,2017-09-03,2017-06-26,2017-12-23,tech1,affiliate1,2019-04-14,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
78,centrifuge,quality_equip,2017-06-03,2017-06-16,2019-06-03,Lab1,gov,district,tech1,affiliate1,2017-07-29,2017-10-27,2017-08-12,2018-02-08,tech1,affiliate1,2019-06-06,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
79,coulter,lab_equip_r_us,2016-08-20,2016-09-05,2018-08-20,Lab4,private,regional,tech1,affiliate1,2016-11-04,2017-02-02,2016-11-15,2017-05-14,tech1,affiliate1,2018-08-26,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
80,CD4_CD8_counter,lab_equip_r_us,2017-08-05,2017-08-31,2019-08-05,Lab3,private,district,tech3,affiliate3,2017-10-25,2018-01-23,2017-10-23,2018-04-21,tech2,affiliate2,2019-08-21,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
81,pcr_tube,quality_equip,2017-07-06,2017-07-09,2019-07-06,Lab2,gov,district,tech1,affiliate1,2017-08-06,2017-11-04,2017-09-13,2018-03-12,tech3,affiliate3,2019-06-29,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
82,coulter,lab_equip_r_us,2017-03-30,2017-04-06,2019-03-30,Lab1,gov,district,tech2,affiliate2,2017-04-13,2017-07-12,2017-05-13,2017-11-09,tech2,affiliate2,2019-03-27,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
83,hiv reagents,quality_equip,2016-05-01,2016-05-28,2018-05-01,Lab3,gov,district,tech2,affiliate2,2016-06-30,2016-09-28,2016-07-10,2017-01-06,tech2,affiliate2,2018-05-18,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
84,hiv reagents,lab_equip_r_us,2016-10-10,2016-10-29,2018-10-10,Lab,gov,district,tech2,affiliate2,2016-11-10,2017-02-08,2016-11-30,2017-05-29,tech2,affiliate2,2018-10-19,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
85,CD4_CD8_counter,lab_equip_r_us,2017-10-23,2017-11-15,2019-10-23,Lab,gov,other,tech2,affiliate2,2018-01-12,2018-04-12,2018-02-08,2018-08-07,tech1,affiliate1,2019-11-05,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
86,P24,quality_equip,2017-08-27,2017-09-03,2019-08-27,Lab2,gov,district,tech2,affiliate2,2017-10-01,2017-12-30,2017-11-11,2018-05-10,tech2,affiliate2,2019-08-24,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
87,pcr_tube,quality_equip,2017-03-04,2017-03-12,2019-03-04,Lab2,gov,district,tech3,affiliate3,2017-04-21,2017-07-20,2017-05-12,2017-11-08,tech3,affiliate3,2019-03-02,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
88,coulter,quality_equip,2016-04-27,2016-05-17,2018-04-27,Lab,private,district,tech1,affiliate1,2016-06-27,2016-09-25,2016-07-29,2017-01-25,tech3,affiliate3,2018-05-07,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
89,pcr_tube,best_labs,2016-10-24,2016-10-26,2018-10-24,Lab,gov,other,tech1,affiliate1,2016-12-11,2017-03-11,2017-01-16,2017-07-15,tech3,affiliate3,2018-10-16,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
90,hiv reagents,lab_equip_r_us,2016-11-09,2016-11-16,2018-11-09,Lab2,gov,district,tech3,affiliate3,2016-12-26,2017-03-26,2017-01-26,2017-07-25,tech3,affiliate3,2018-11-06,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
91,graduated_pipettes,quality_equip,2017-03-24,2017-04-09,2019-03-24,Lab,private,regional,tech2,affiliate2,2017-04-27,2017-07-26,2017-06-28,2017-12-25,tech3,affiliate3,2019-03-30,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
92,pcr_tube,lab_equip_r_us,2017-12-29,2018-01-21,2019-12-29,Lab2,gov,district,tech1,affiliate1,2018-03-21,2018-06-19,2018-04-16,2018-10-13,tech2,affiliate2,2020-01-11,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
93,hiv reagents,lab_equip_r_us,2016-11-24,2016-12-15,2018-11-24,Lab,gov,district,tech3,affiliate3,2017-01-29,2017-04-29,2017-01-25,2017-07-24,tech3,affiliate3,2018-12-05,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
94,centrifuge,lab_equip_r_us,2016-12-07,2016-12-26,2018-12-07,Lab4,private,district,tech3,affiliate3,2017-01-23,2017-04-23,2017-01-28,2017-07-27,tech1,affiliate1,2018-12-16,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
95,micropipettes,best_labs,2017-02-10,2017-02-16,2019-02-10,Lab4,gov,district,tech2,affiliate2,2017-03-28,2017-06-26,2017-04-08,2017-10-05,tech3,affiliate3,2019-02-06,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
96,coulter,best_labs,2017-06-10,2017-06-29,2019-06-10,Lab1,gov,national,tech3,affiliate3,2017-08-28,2017-11-26,2017-08-11,2018-02-07,tech2,affiliate2,2019-06-19,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
97,micropipettes,quality_equip,2016-09-07,2016-10-04,2018-09-07,Lab1,gov,district,tech2,affiliate2,2016-10-20,2017-01-18,2016-12-08,2017-06-06,tech2,affiliate2,2018-09-24,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
98,micropipettes,best_labs,2016-04-25,2016-05-05,2018-04-25,Lab,private,regional,tech1,affiliate1,2016-05-13,2016-08-11,2016-07-18,2017-01-14,tech3,affiliate3,2018-04-25,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
99,hiv reagents,best_labs,2016-04-20,2016-05-07,2018-04-20,Lab1,parochial,regional,tech2,affiliate2,2016-07-01,2016-09-29,2016-07-24,2017-01-20,tech2,affiliate2,2018-04-27,,,9.767868700000008,4.0510564,2016-01-01T00:00:01Z
100,P24,quality_equip,2017-05-28,2017-06-07,2019-05-28,Lab4,gov,regional,tech2,affiliate2,2017-06-21,2017-09-19,2017-07-28,2018-01-24,tech1,affiliate1,2019-05-28,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
101,pcr_machine,lab_equip_r_us,2016-12-31,2017-01-05,2018-12-31,Lab3,gov,district,tech1,affiliate1,2017-02-11,2017-05-12,2017-02-17,2017-08-16,tech1,affiliate1,2018-12-26,,,3.379205700000057,6.5243793,2016-01-01T00:00:01Z
102,centrifuge,quality_equip,2017-01-25,2017-02-04,2019-01-25,Lab,gov,district,tech3,affiliate3,2017-03-08,2017-06-06,2017-04-24,2017-10-21,tech3,affiliate3,2019-01-25,,,11.502075200000036,3.848032500000001,2016-01-01T00:00:01Z
